bot0_x,bot0_y,bot1_x,bot1_y,bot2_x,bot2_y,bot3_x,bot3_y,bot4_x,bot4_y,bot5_x,bot5_y,bot6_x,bot6_y,bot7_x,bot7_y,bot8_x,bot8_y,bot9_x,bot9_y,bot10_x,bot10_y,bot11_x,bot11_y,bot12_x,bot12_y,bot13_x,bot13_y,bot14_x,bot14_y
-0.8315499736024474,-0.2762140555576534,-0.0242440377145063,0.3792155459826622,-0.861441786228962,0.0549358509540358,0.0278205987237655,-0.1226420276407946,-0.5600890291700016,0.1251610408164387,-0.5854604607894388,0.4951089233566219,0.017053367892688,0.0370169311800816,-0.2046609007957158,-0.3718488561335107,-0.6822642815277504,-0.4457070004609704,-0.7820305324129333,0.2547937778916331,-0.9666872996316008,-0.2152908069428261,-0.5116957038154071,-0.1286744685276277,-0.7190003855995768,0.0506550465444696,-0.2803007123032914,-0.1550628950490858,-0.5920012136521109,-0.5901575484676869
-0.8316634739151592,-0.2761951959710275,-0.0242440377145063,0.3792155459826622,-0.861441786228962,0.0549358509540358,0.0278205987237655,-0.1226420276407946,-0.5600890291700016,0.1251610408164387,-0.5854604607894388,0.4951089233566219,0.0184425457664691,0.033399664940229,-0.2046609007957158,-0.3718488561335107,-0.6822642815277504,-0.4457070004609704,-0.7820305324129333,0.2547937778916331,-0.9666872996316008,-0.2152908069428261,-0.5116957038154071,-0.1286744685276277,-0.7209613744222065,0.05050757797299125,-0.2803007123032914,-0.1550628950490858,-0.5920012136521109,-0.5901575484676869
-0.8331740699326549,-0.2744707364083358,-0.02536276809930355,0.38338427547073956,-0.8622266150934671,0.0550018652428867,0.024807162874098,-0.121633563326191,-0.5643678601460984,0.12588632393537308,-0.5922955803389219,0.490200739111529,0.02120316415330505,0.0270253874434304,-0.1990785975285689,-0.3654939393563836,-0.6866218940922408,-0.4487989180179283,-0.783625943862504,0.2467191962092637,-0.9613113264766078,-0.20917422651116474,-0.5228362399779805,-0.12616692668884175,-0.7229223632448363,0.0503601094015129,-0.2774065267317553,-0.14789694501052633,-0.5922807706409686,-0.5900463570392717
-0.8400340973655749,-0.26785819479723344,-0.02764909178811045,0.38709222408200683,-0.863390516459638,0.05493461536925985,0.02232720416385235,-0.1216577420658381,-0.5743887304808345,0.12773605123469342,-0.5997095307730517,0.48537254836688687,0.02230044168670285,0.02180320968358435,-0.1901743916996565,-0.3589864008990844,-0.6895350631384645,-0.4535199940164602,-0.7831615354990236,0.24453389059736563,-0.9494924814465358,-0.2021586966306756,-0.5349077749500096,-0.12355658417374706,-0.7311369101918249,0.05139688157985494,-0.27318045955254905,-0.13894307992967772,-0.5814227899605137,-0.5774787584712605
-0.8398082289952502,-0.26711501944357763,-0.028163116183917,0.3936221143503781,-0.8667087289816668,0.055450224246803,0.0199709878277861,-0.12309382083532261,-0.590010607013993,0.13005383454076208,-0.607190728320624,0.4802649229586956,0.02465970541776835,0.0149920756283885,-0.18169784152814825,-0.3533905758140463,-0.7037644077609002,-0.4595402439572353,-0.7830283417166053,0.235640561265959,-0.9354671246286235,-0.19306418447501214,-0.5433487800461327,-0.1214823432674932,-0.7418564339060479,0.054505620730154636,-0.27233052812829694,-0.1354236823094448,-0.5661940589376067,-0.5653864239396087
-0.8398248585564758,-0.265624378356257,-0.032797806369831,0.4010359476038458,-0.8657439266293145,0.05580712624256855,0.018702786473618997,-0.12465764945199345,-0.5971123441901385,0.13188630608099036,-0.6098398303983303,0.4776367215987116,0.028938893146796,0.0049742497766977,-0.1748646372234361,-0.3508739236804103,-0.7120583808900847,-0.4625000151736458,-0.7824706674450956,0.22814094267109156,-0.9413292248990984,-0.1973001538352206,-0.5464656249898522,-0.1203958472320183,-0.745747349009321,0.0556155628734251,-0.27086954727167345,-0.1300605172214506,-0.5631904574447655,-0.561390860667724
-0.8372939780430968,-0.2632735408107614,-0.036408629242375104,0.4046714383556393,-0.8731066758967939,0.05787560306826597,0.019741648558307668,-0.12500439035634622,-0.6074515106534818,0.13253781874839235,-0.6096534105983412,0.47711641783689096,0.03544689782974095,-0.0079691518126604,-0.167435664488039,-0.3471900851491227,-0.7212915646632609,-0.4647906204354513,-0.779676058012749,0.2222458698087202,-0.9418248872467962,-0.1960371211143577,-0.5597349714300424,-0.11852831359764439,-0.7512829749432264,0.058889807135938596,-0.26786093588223925,-0.11900860877751815,-0.5526409666137804,-0.5546453077073675
-0.8357172559448097,-0.2622645457782228,-0.03926822830346947,0.40666288473861023,-0.8873486726180408,0.06420311737563356,0.0172563801990268,-0.1246647102023319,-0.6184754347455406,0.13449752093656586,-0.6101489703905236,0.47712583594679386,0.036934514012453304,-0.01402901075041475,-0.15789207996203908,-0.3443434496730333,-0.7251026819030812,-0.4657593432748399,-0.7764596619956842,0.21501567132157814,-0.9392067074139854,-0.19512649401527427,-0.5734185542399032,-0.11288459426845027,-0.7584900433566126,0.063614253489495,-0.2675497286610714,-0.10534954491680179,-0.5457659928871026,-0.5450801707405184
-0.8335170565123123,-0.2604052940261354,-0.04648625846724415,0.40998926588592716,-0.8939136368546918,0.0665863772639057,0.0181124755207459,-0.1258458302349953,-0.6258557948855831,0.1355846116512277,-0.6101506389362732,0.4771250150522487,0.0407796983725553,-0.0282723944627625,-0.1510809835299369,-0.3411426697293791,-0.7318289322065539,-0.4656837467719015,-0.7735157265078415,0.21155317839066315,-0.9320673089554401,-0.19413522396591326,-0.5811206437151979,-0.11267391583403503,-0.7636159153860888,0.06879798766489625,-0.26738079387898295,-0.10173333465801464,-0.5377723598381857,-0.5378355844445157
-0.8305830673434887,-0.26028436301408603,-0.0542154233562898,0.4106260900990275,-0.9030907652058362,0.07013027889763505,0.0184044456652901,-0.12701007355445043,-0.6399317798915162,0.1371198940964376,-0.6101503066336533,0.4771251892313452,0.04201006272656095,-0.033794461896100345,-0.1386497173652969,-0.3365231770003447,-0.7425922636430187,-0.4663067622896051,-0.7670633654271406,0.2036737797562504,-0.9317070943308278,-0.19482279591875082,-0.5916505929384783,-0.11017613505042939,-0.7652993534586372,0.07355785764171721,-0.26751684076908033,-0.09272040981773375,-0.5289339430925655,-0.5309544426313826
