%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1656060245779133504,1140,1656060245733169317,odom,base_link_10,-0.8315499736024474,-0.27621405555765344,2.9719270189684215e-19,6.603129437711645e-19,-1.5655043804917146e-18,0.9476643602590901,0.31926832021785306,0.0001315795968431688,3.174584991263891e-17,1.3804776475066152e-30,1.44773333645719e-27,1.0041667125596048e-27,1.9230754639528645e-13,3.17458499643377e-17,0.0001315795968431844,-1.885444076239972e-28,-9.254278298386403e-28,6.204858264969591e-26,2.1559086862342177e-13,1.403337899406789e-30,-1.9894204137744423e-28,0.0001574948124786885,5.2865214813902073e-14,2.6936611804999404e-14,9.022104874341906e-31,2.157020486020474e-28,-1.0023511000182017e-27,5.286521481059335e-14,7.97447362720484e-05,-9.634267983970644e-19,-6.075458585194146e-30,-2.277708508093454e-28,-1.6797125798434353e-26,2.693661180169068e-14,-9.634247871677875e-19,7.97447362720496e-05,-1.0568381416999937e-28,1.9230754628940733e-13,2.1559086862342177e-13,2.526204950842268e-31,-5.4978222437093435e-30,4.863402359060551e-28,0.00015749584641191854,-0.0057538435501258,0.011500957351768561,6.649214009831231e-19,7.77624280042604e-18,-4.866205455323062e-18,-2.8429287576907316,0.0007641262000252769,8.505290548177231e-18,1.1421118963321653e-28,-1.2725669776110876e-27,9.669392588489693e-28,-6.094266593531614e-14,8.505290503169617e-18,0.0007641262000253307,-2.477504245670746e-28,1.909248940700198e-27,-1.5870444829467865e-27,-2.41931655409924e-13,1.3198836928353144e-26,-2.4492090474775954e-26,0.00010566172361375372,3.5435682209817445e-19,1.8542100041954106e-19,-2.0425219335914596e-25,-1.0773747575407422e-27,1.6072330754445985e-27,3.5435682209817445e-19,2.7905495512175235e-05,-9.03617419939411e-24,1.6434423977218472e-26,9.669782652394905e-28,-1.5871221161648794e-27,1.8542100041944245e-19,-9.036174201753374e-24,2.7905495512175126e-05,-1.0952858613286447e-26,-6.094266593542111e-14,-2.41931655409924e-13,2.3977654414760155e-27,1.6510341993049725e-26,-1.095364792014245e-26,0.0006112703565331234
1656060245812361565,1141,1656060245769439220,odom,base_link_10,-0.831776974227871,-0.2761763363844016,-9.0801637066428e-18,3.0501077641913214e-19,-1.4450601744994063e-18,0.9254562960329383,0.37885438381124,0.0019450816786045254,-6.38190232644024e-12,-5.217943993159301e-25,-1.1734434215406443e-25,-1.366905912181154e-25,7.320919484484422e-08,-6.3819023264695456e-12,0.0019450816457774389,-2.886937803286192e-24,-8.820753239506478e-25,-1.6191147149931918e-24,-1.3731458592998172e-08,-6.251920661565947e-25,-1.6121826976092218e-23,0.002178175302929135,7.371788210172293e-12,4.696538797334901e-12,-1.499678049380599e-25,1.5370148693235749e-24,-8.820558706917796e-25,7.371788210159058e-12,0.0010900604784086622,-1.8351723460691607e-15,-4.908518126091882e-27,-1.7910403217029716e-24,1.1615766628533897e-23,4.6965387973415185e-12,-1.8351723460691394e-15,0.001090060478410371,-1.1150267088121024e-25,7.320919484484422e-08,-1.3731458592998146e-08,-3.888734380748193e-26,-5.371448142408963e-27,-8.106690783632869e-27,0.0023336903889075917,0.005685324800183435,0.002994810176862482,-2.5968856696186815e-18,1.043569798434856e-17,3.4472230981173434e-18,-3.507061675544594,0.0009070147921347272,-9.572966506777512e-25,-3.440698738459721e-30,-1.3186035379453385e-31,-6.783378420711759e-30,-4.16545598215259e-21,-9.572972669753334e-25,0.0009070147921347273,1.1769347935153916e-29,-6.752550467778361e-30,-3.847440589682776e-33,-1.8357479939511947e-20,-7.288915510831547e-30,8.036013796370533e-30,0.0014527680651308002,9.137522966599606e-15,5.8214816074393194e-15,-3.8671195326166883e-29,3.0613796446092896e-32,9.677445336518163e-32,9.137522966599571e-15,0.0003645963983297356,-2.1975977615245642e-18,-7.826563932142508e-30,6.594415768101314e-32,-6.548340117514189e-33,5.821481607439296e-15,-2.1975977615246894e-18,0.00036459639832973765,-4.178932074021904e-29,-4.1654560137070266e-21,-1.8357479964755496e-20,2.0292223549449917e-27,-1.339104694924206e-29,3.558661195642325e-27,0.0007256652566116428
1656060245845826481,1142,1656060245797246695,odom,base_link_10,-0.8322333245337826,-0.27558951010747085,-1.9307427252797497e-18,1.5207083924440718e-18,7.2739217034389e-19,0.9089315143506496,0.4169454427382974,0.0033354653130127617,2.631243033355138e-12,-3.769191969876847e-24,3.810425488073727e-24,-2.6753735218410043e-24,-4.833558694331869e-08,2.6312430334347556e-12,0.003335465355706887,1.0119663361050724e-24,-1.2762735010280217e-24,1.2456247224591364e-24,-4.168668028503224e-07,-3.769180222962811e-24,1.0689108867233137e-22,0.0016704470717247995,1.3561289586176698e-13,-2.062936279742123e-13,4.186292794992819e-25,-2.344175899319145e-22,5.083610216874161e-23,1.3561289587500187e-13,0.0008362215011797334,1.817190959425305e-17,8.205320157848864e-25,-2.1112488580709698e-22,5.33580015053087e-23,-2.0629362794774252e-13,1.8171909594354025e-17,0.0008362215011797156,-4.291922797422188e-25,-4.833558694331911e-08,-4.1686680285032223e-07,5.656398186843027e-27,-5.571046718680564e-27,7.385759525825443e-27,0.004002139043398884,0.026930159086999014,-0.0035901336862935516,1.5407024387545634e-18,-3.087772735262419e-18,1.2674739300813366e-18,-2.986787075303038,0.0006954534713300575,-3.740967500359978e-25,-2.360411464353592e-31,-2.7316433745211265e-31,-2.7359157285385284e-31,8.179625987714532e-25,-3.740967492656258e-25,0.000695453471330058,7.322765207521402e-32,-3.828941256260179e-33,8.773807431910035e-34,2.3115305536260865e-24,-2.340993000151394e-31,4.0459694100206595e-31,0.0011142969012633843,1.0447809902924436e-16,-1.5873318619822246e-16,-1.5356939423823108e-28,1.5162919383083218e-32,-2.5573276654341433e-33,1.04478099029227e-16,0.00028006654098433197,1.3874752352918994e-20,7.373374880406161e-30,1.4740063064514037e-32,7.177252118487327e-34,-1.5873318619819248e-16,1.3874752352541126e-20,0.0002800665409843319,-1.2340182963882856e-30,8.176906574633057e-25,2.3115305536260865e-24,5.566359463125178e-28,8.34975212632791e-30,1.959132883686358e-29,0.0005564160851932548
1656060245879160171,1143,1656060245835951090,odom,base_link_10,-0.8341148153315271,-0.2733519627092008,1.4406685037286868e-18,-7.045483721541597e-19,-4.992039450747886e-19,0.8742601555949591,0.4854577019051999,0.005270719074651745,2.462013260923107e-09,1.1318509484210737e-23,-1.359282652938917e-23,8.566175089543065e-24,-3.6070798119896295e-06,2.462013260928189e-09,0.0052707177061095,-1.7996079300694078e-23,2.1057885917928874e-23,1.0196849765063315e-24,-2.7410332799057863e-06,1.6789146240837512e-21,-1.6599495955551036e-21,0.0023242619231595278,-3.213138437591026e-14,-1.889974662465511e-12,8.978905267809208e-27,-2.6827721210129565e-23,-8.482122678410822e-23,-3.213138437921898e-14,0.0011631283241411213,-3.6365902608750575e-17,-1.2721778472191606e-25,8.566164885149956e-24,1.695085568292127e-21,-1.889974662465511e-12,-3.6365886643922415e-17,0.0011631283241391307,-8.160460644076993e-25,-3.6070798119896312e-06,-2.7410332799057863e-06,1.6328847705549738e-26,-1.5949669387331214e-26,-1.7903357681777754e-27,0.006324403159699226,0.07773734467210275,-0.0006079564628528518,-2.7807471082284887e-18,-4.428782869404117e-18,8.344086418106352e-19,-3.968436258539445,0.0009678758559915564,-1.5941702289987584e-24,2.132509693047453e-30,-4.2913895612020027e-32,5.746750114811596e-30,1.0233281418157112e-24,-1.594169033381449e-24,0.0009678758559915566,-8.870633043544854e-31,-7.3218777105779675e-31,7.156699225363818e-31,-1.1826532452408337e-25,-1.3649295539080728e-30,-9.004325349663685e-31,0.0015501731200278262,-4.7845861603528665e-17,-2.8144522686176654e-15,-3.871448841650037e-30,-3.4100071126327467e-32,2.3540701131484618e-32,-4.7845861603529404e-17,0.0003890332867262667,-5.395986391809732e-20,2.1650612480051694e-29,-3.042386863326451e-31,-2.1980195978038312e-32,-2.8144522686176347e-15,-5.3959863932041785e-20,0.00038903328672626366,-2.2711032351841703e-29,1.0234267864067188e-24,-1.1816667993307581e-25,4.527395588963747e-30,-3.6178052423328454e-28,3.69976159941493e-28,0.0007743538579849936
1656060245912366481,1144,1656060245866539478,odom,base_link_10,-0.8389068322556837,-0.27011769850042705,-2.0831519691514038e-18,6.1594883124764e-20,-9.161684584346494e-19,0.8530351612670792,0.5218534407686206,0.00012732427674591856,4.044933279329578e-16,-2.526118519552554e-25,-3.1565593700291924e-28,5.0341564444244275e-25,-9.579244644416281e-13,4.044933279329578e-16,0.00012732427674558202,5.055251229968304e-25,1.3181842554898464e-27,-7.50226694112875e-29,-6.227901563058726e-13,6.165764037613723e-26,-1.2436027639064858e-25,0.00015238789433320746,5.085389774833133e-14,-4.199183364830642e-13,-5.328563275095546e-29,-8.738934922628282e-28,1.9581106742060814e-27,5.085389774833133e-14,7.719128881829502e-05,1.1876680479407648e-17,1.2370378621038043e-30,-6.080330102833451e-26,-1.9215078565146967e-27,-4.199183364565944e-13,1.1876680479401337e-17,7.719128881819668e-05,-1.3454665421772344e-28,-9.579244610534964e-13,-6.227901563058726e-13,6.173391773450541e-29,1.2353147550771148e-30,7.446188243391134e-31,0.00015238929682151459,0.0945783117689469,0.01084042755610969,1.7497433255152025e-18,-5.158102652017889e-18,-3.770409697348549e-18,-2.5498798608192246,0.0007650744389494329,-6.946617375275827e-17,3.219257875427048e-27,-8.596122131176666e-27,-1.0671431843892903e-26,-9.412212316372086e-14,-6.946617370567181e-17,0.0007650744389501545,1.4151091151088659e-27,-1.0097284187844883e-27,5.251613934815232e-27,9.063254673933195e-13,-2.364205636666039e-25,5.270796105402903e-27,0.00010225711801035704,3.199604879254391e-19,-2.6452016634491296e-18,-8.598843774125351e-27,2.6057381631927066e-26,-2.4549513540865622e-26,3.199604879254884e-19,2.7054387208271078e-05,9.353031724789288e-23,1.902679467192547e-26,-7.117447707032054e-26,2.9598930621650656e-26,-2.6452016634483407e-18,9.353031725039659e-23,2.7054387208271186e-05,1.396883832332406e-26,-9.412212316370805e-14,9.063254673933231e-13,-8.5231634790618e-27,1.8965584971714677e-26,1.40403369988987e-26,0.0006120345946610733
1656060245945705741,1145,1656060245902642727,odom,base_link_10,-0.840697315110588,-0.2675972766373616,-3.406077943589599e-19,-2.8721759977742757e-18,6.568182860911653e-18,0.8198447666979494,0.5725858525304175,0.0019324947417225858,8.497439551696152e-10,-1.8650208927838433e-24,8.926970236195318e-24,1.7637743838333754e-23,-4.413788615250496e-07,8.49743955169693e-10,0.0019324940284520227,4.994103310137541e-24,-1.4300392659606823e-23,-2.745355102298291e-23,-2.934309349301896e-07,-1.8480874671438754e-25,4.994100079621255e-24,0.0021681754002366624,1.3576266080656543e-11,-6.504690123829366e-11,9.089095078254333e-28,1.223569188153756e-23,-1.4300391083097464e-23,1.3576266080656543e-11,0.0010850595704232989,4.524804469466564e-14,2.434432288574462e-27,1.7637743851573112e-23,-2.7453551052412774e-23,-6.504690123818778e-11,4.524804467331608e-14,0.0010850595702159402,-1.0809747712007908e-26,-4.413788615250496e-07,-2.934309349301896e-07,-1.1883312089856381e-28,1.6266343269869548e-27,2.5755828439574773e-27,0.002318584560204923,0.08572703296115226,0.01250134223136488,-1.2768991757026016e-18,-5.575475987560286e-18,-4.8219453110059715e-18,-3.3589202196219707,0.0009028479137482448,-3.2341132307174235e-24,-4.662041323426371e-30,2.847040626098153e-31,-5.904428437729401e-29,-2.2913531607818794e-20,-3.2341219821430908e-24,0.000902847913748245,4.9586867528637644e-30,1.3621830785493913e-30,4.150431165980702e-30,3.295142829457858e-20,-4.685537786389166e-30,4.976641585008225e-30,0.0014461009596376433,1.664275866206663e-14,-7.973915291869024e-14,5.6507316622262046e-30,3.0698829403580117e-31,-4.464468639873074e-31,1.6642758662066542e-14,0.00036292677655397554,5.3531293264895495e-17,7.606298714925837e-30,-1.1682624732947766e-30,5.331747010333733e-31,-7.97391529186899e-14,5.353129326506061e-17,0.00036292677655373024,-8.344420518914189e-30,-2.2913531607818794e-20,3.295142834506568e-20,-2.5649315693414237e-28,7.610541311639342e-30,-2.6587589621105002e-30,0.0007223316512909844
1656060245979244866,1146,1656060245933309078,odom,base_link_10,-0.8393708796205618,-0.26811911295710533,1.1547448418566088e-18,-3.902871365795778e-19,5.499132671813946e-19,0.7908919106101729,0.6119558691044561,0.00013287897979428987,1.0081929099574762e-15,-1.5650296497441892e-26,1.7685265629406605e-27,2.1732724527916025e-29,-1.336415727769811e-12,1.0081929116118375e-15,0.00013287897979310766,-1.2163001946444159e-27,-6.0694038428381345e-28,2.5249633606107703e-25,-6.846468434265412e-13,7.980157100267624e-27,-8.627178239071312e-28,0.0001590540757093863,-3.00803095508309e-14,-2.2505083520734798e-13,9.345052420799795e-30,1.6868718153396608e-27,2.667944312292067e-29,-3.008030955248526e-14,8.052437663359942e-05,-4.034808776815266e-18,-1.0471829270991638e-28,6.213659339836617e-29,-6.100598430716578e-26,-2.2505083520734798e-13,-4.034808776821577e-18,8.052437663357145e-05,-5.0446747438248534e-29,-1.336415727769811e-12,-6.846468425795082e-13,-2.5311994771980663e-30,4.933704361064693e-28,-2.8657446794078818e-30,0.0001590551053283337,0.04837784203978556,-0.006986587825019506,3.1164884635519007e-20,-2.708933813918812e-18,-4.476496965979442e-18,-4.054104869861823,0.0007670313822097184,-6.859596886524887e-16,-1.664798412973195e-28,-3.4555613859464995e-27,1.840842086765251e-27,-3.1612712901268167e-13,-6.859596886914307e-16,0.0007670313822119087,4.844298679015251e-29,-2.3840262569893882e-27,2.4393752775326145e-27,1.2937408960884418e-12,6.411892998555204e-28,5.16509013552899e-29,0.00010670123718654694,-1.9847464325783244e-19,-1.5593164794586285e-18,-8.253002958082434e-25,5.573530308480634e-26,-1.735498391601885e-27,-1.9847464325783244e-19,2.8165405436060835e-05,3.107661646671192e-23,2.176349915033808e-26,5.732271654880565e-26,-1.0782699375121335e-26,-1.5593164794586285e-18,3.1076616464400805e-23,2.816540543606089e-05,4.529951679309848e-25,-3.161271290122746e-13,1.2937408960880218e-12,1.0725232878756588e-27,2.1745287074678456e-26,3.9293283648275514e-26,0.000613593041960726
1656060246012455244,1147,1656060245969547749,odom,base_link_10,-0.8397744736531606,-0.2676107468992518,-5.197712704728891e-18,2.850837220805396e-18,2.198003010318515e-18,0.7526765846063153,0.6583904305086553,0.0019448198612936638,5.664585342809971e-11,-5.083257503626423e-25,9.384869855223566e-25,-5.58184601372956e-26,-2.8370116474089974e-07,5.664585342818203e-11,0.0019448193616975612,5.745968074169359e-24,-6.875670528056298e-24,-4.655379947305943e-25,-3.1763386230709125e-08,-7.127343548210292e-24,5.758785311445169e-24,0.0021763015165208207,1.187211248888924e-13,-3.268281999750407e-11,5.1561671719168474e-27,8.350864877952528e-25,4.606390080624329e-23,1.187211248886856e-13,0.0010891242247815518,2.0437491649933794e-16,-8.316711701203965e-27,-5.58330665386733e-26,5.2474135238267094e-23,-3.268281999753054e-11,2.0437485582847486e-16,0.0010891242247244447,-5.558668363820485e-27,-2.8370116474089974e-07,-3.176338623070918e-08,4.909119318369456e-27,-8.316709909796676e-27,1.7298479097069774e-27,0.0023333756776345834,0.01657221505406871,0.007423960440061551,5.859353438398255e-19,8.694181464476184e-18,3.500168508696136e-18,-3.319520930400999,0.0009062343108703434,-3.045402060555921e-23,5.372253460256111e-30,5.475962892693212e-31,-5.589024516358619e-29,-3.302047783234888e-20,-3.0454029332332975e-23,0.0009062343108703434,-1.2331762337951996e-30,6.856016998242824e-30,-6.953884443988261e-30,9.717313081208831e-20,4.118011216139042e-30,-1.2576026390625678e-30,0.001451519021819745,1.469840411043523e-16,-4.046363232715855e-14,-4.8954938202456e-29,6.961393807757999e-31,-1.068391403464395e-31,1.4698404110435028e-16,0.00036428497456985633,2.4452228604711004e-19,-3.649798497514591e-29,1.148174177478836e-30,-1.6620445069415066e-31,-4.0463632327158074e-14,2.4452228649633104e-19,0.00036428497456978797,1.4121028640479203e-29,-3.302047788283598e-20,9.717313091306251e-20,1.8820925305761983e-27,-3.650111023699719e-29,-3.468843457176098e-27,0.0007250409395521793
1656060246045745221,1148,1656060246000887871,odom,base_link_10,-0.8398419843373397,-0.26661929198790346,-1.4623514307508579e-18,-3.9590175991550983e-19,-1.0471804966516885e-18,0.7205134426453924,0.6934409700668722,0.00017871495167408324,5.527899854624903e-17,2.687994088076027e-28,-4.68393910793009e-28,-2.8678791906567963e-28,-3.498908686976656e-13,5.5278998649646604e-17,0.00017871495167389763,-6.2719929139222e-26,1.1184349988032885e-27,1.164710119452307e-27,-1.3401951019595827e-13,1.5698373475934877e-28,3.2495630400670025e-26,0.00021405722639463213,-3.193024561614954e-14,-1.1752049812062825e-13,3.674685807450394e-30,-1.5950448167833119e-28,8.969448914375097e-28,-3.193024562276698e-14,0.00010802592897459341,-2.367149955373939e-18,-2.3072843473473824e-30,-2.8679529637418584e-28,1.2551337812553561e-27,-1.175204981140108e-13,-2.3671479333278012e-18,0.00010802592897458604,-8.022889634505516e-31,-3.498908686976656e-13,-1.3401951019595827e-13,-1.5087046260151367e-30,-2.766218263503796e-30,-6.6321363447238125e-31,0.00021405827157010282,0.01851581378961679,-0.005265865004276849,2.251283608825837e-18,-1.7009379770132326e-19,-5.9473337750020736e-18,-3.49334736415957,0.000783962695847279,-9.187347615135899e-17,2.4208936686670143e-27,-1.2730382217688668e-28,-5.7658351101766006e-27,-1.9438118128280293e-13,-9.187347615113647e-17,0.0007839626958476619,-5.328267594124872e-28,1.3014436129727013e-27,1.509128112532729e-28,5.610779099759133e-13,-7.288750996215071e-26,4.0171674300946277e-26,0.0001433699914180431,-3.9362791766904267e-19,-1.4643464664206707e-18,8.097430824318118e-25,-3.9844615849117514e-26,2.1422842269311473e-27,-3.9362791766904267e-19,3.7332508518534086e-05,-2.4535418038641114e-23,4.139894803321391e-25,-4.3867560660052177e-26,1.395637275212195e-27,-1.4643464664207693e-18,-2.4535418064737465e-23,3.733250851853425e-05,4.501327578765907e-25,-1.9438118128321652e-13,5.610779099763202e-13,-1.913367866406295e-26,3.530217519473099e-28,3.6497088204442624e-26,0.0006270680461092112
1656060246090211591,1149,1656060246035933256,odom,base_link_10,-0.8397452430038697,-0.2657273401089909,-6.342297428137886e-18,-6.001938173966135e-18,1.293022676533077e-18,0.6766168147279229,0.7363353081493782,0.0019309903424627973,-2.231030702842536e-11,9.43600398657949e-25,9.99983839797142e-25,-1.2924986394645213e-24,-1.4177795986766429e-07,-2.2310307028421888e-11,0.0019309902538824542,4.09831239210089e-24,4.4640293745443854e-24,-6.3694148799674e-24,3.3692563011691634e-08,-5.673842371831717e-24,4.0982568324017756e-24,0.002104709193594627,-1.3875537301227653e-12,-9.194201583861595e-12,-8.481488290711768e-27,6.893643188043247e-24,2.8038652057194356e-23,-1.3875537301227653e-12,0.0010533345291563047,-9.185555353907178e-16,7.003317357666135e-27,-1.292495073091597e-24,-6.36941474933838e-24,-9.194201583861595e-12,-9.18555550632192e-16,0.001053334529150373,6.522149446125873e-26,-1.4177795986766429e-07,3.3692563011691634e-08,-8.47970531538898e-27,-9.623834697454549e-27,1.35238511761839e-26,0.002316781719272337,0.02561480929360734,-0.0036596624256468153,1.8450847627835102e-19,2.139649561292891e-18,-4.713820754878011e-18,-3.5031261011599484,0.0008764001105245707,-4.126504654059021e-24,-1.9518841234082193e-30,-1.0849418636813889e-29,-1.1073610533273808e-29,-1.827256175150287e-20,-4.1265035940271795e-24,0.0008764001105245708,4.661812104840423e-30,1.3145229502689233e-30,4.8563247695030286e-32,4.481085845403524e-20,-2.2132349170590082e-30,4.708263539195731e-30,0.001403794665903331,-1.6299841771720681e-15,-1.08005894269914e-14,2.1600148328491676e-30,-4.658695241540421e-31,1.9800256181802124e-32,-1.6299841771720407e-15,0.0003523762406708366,-1.0513063626361647e-18,7.14991058684774e-30,-4.681815619033186e-31,1.6447219307817891e-32,-1.0800589426991281e-14,-1.0513063625554686e-18,0.0003523762406708298,8.447549630099923e-30,-1.827256177674642e-20,4.4810858555009436e-20,-4.7145832289985134e-29,-2.573530952430948e-29,-2.7113437516822074e-27,0.000701173164932466
